,demo_arrow_rt,demo_arrow_correct,demo_demo_accuracy,demo_RT_overall_mean,demo_RT_incorrect_mean,demo_RT_correct_mean,encoding_arrow_mean_rt,encoding_arrow_accuracy,testing_Test_overall_accuracy,testing_RT_overall_mean,testing_RT_incorrect_mean,testing_RT_correct_mean,testing_layer_1_rt,testing_layer_1_accuracy,testing_layer_2_rt,testing_layer_2_accuracy,testing_layer_3_rt,testing_layer_3_accuracy,testing_longest_response_strike,demo_demo_accuracy,demo_arrow_correct,encoding_arrow_accuracy,testing_longest_response_strike,not_too_slow,not_too_Fast,sufficient_test_acc,WorkerId
A2EZ5YR6PJ6XX0,0.8113,1.0,0.0,0.26905,0.26905,,0.0954,0.0,0.5833333333333334,0.2504866666666667,0.212144,0.27787428571428574,0.19288,0.6,0.176095,0.5,0.382485,0.65,12.0,False,True,False,True,True,False,False,A2EZ5YR6PJ6XX0
A12NT768CR36E5,2.127,1.0,0.6666666666666666,5.2973333333333334,10.1205,2.8857500000000003,1.1106,1.0,0.43333333333333335,1.576033333333333,1.465529411764706,1.7205384615384616,1.43285,0.35,1.5031,0.6,1.79215,0.35,7.0,True,True,True,True,True,True,False,A12NT768CR36E5
A1UFS2BDTPT5DX,1.782,1.0,0.3333333333333333,3.234833333333333,2.86825,3.968,1.722,0.4,0.4666666666666667,3.470249999999999,2.8245625,4.208178571428571,3.1799,0.4,2.7618,0.5,4.46905,0.5,5.0,False,True,False,True,True,True,False,A1UFS2BDTPT5DX
A4VUQ6627RJX8,2.275,1.0,0.5,5.251,8.653,1.849,1.6262,1.0,0.6,2.041283333333333,2.1273750000000002,1.983888888888889,2.02375,0.55,2.0652,0.65,2.0349,0.6,6.0,True,True,True,True,True,True,False,A4VUQ6627RJX8
A222GZB608T1B8,2.1912,1.0,0.5,2.1014833333333334,2.1883,2.0146666666666664,1.88404,1.0,0.6833333333333333,2.6367533333333335,2.6187684210526316,2.645087804878049,2.55026,0.85,2.697195,0.75,2.6628049999999996,0.45,9.0,True,True,True,True,True,True,True,A222GZB608T1B8
A3TH6B3RUD1MUQ,1.092,1.0,0.8333333333333334,10.778883333333333,1.9467,12.54532,,0.0,0.8166666666666667,26.914015,83.7141909090909,14.162955102040815,20.88945,0.75,8.803005,0.95,51.049589999999995,0.75,5.0,True,True,False,True,False,True,True,A3TH6B3RUD1MUQ
A2HJKL3641S7R,2.239,1.0,1.0,2.9879999999999995,,2.988,1.70575,0.8,0.6333333333333333,2.7708,2.6813636363636366,2.822578947368421,2.7444,0.85,3.07795,0.7,2.49005,0.35,4.0,True,True,True,True,True,True,True,A2HJKL3641S7R
AILT4SWETTAUL,1.2235,1.0,1.0,2.0793,,2.0793,,0.0,0.6166666666666667,2.548583333333334,1.9640869565217391,2.9119189189189187,1.82973,0.75,3.2181849999999996,0.6,2.597835,0.5,4.0,True,True,False,True,True,True,True,AILT4SWETTAUL
A2TC7B46WQ695O,0.0102,1.0,0.5,0.9044999998333333,1.2386999996666666,0.5703,0.2561999998,0.4,0.5666666666666667,0.7708233334166666,0.7463192309615384,0.7895617647058824,0.7597249999,0.65,0.8012900000000001,0.6,0.75145500035,0.45,3.0,True,True,False,True,True,True,False,A2TC7B46WQ695O
ACR6012D868PP,0.985099999,1.0,1.0,1.3945333336666668,,1.3945333336666668,2.0874499995,0.4,0.55,0.036468333333333325,0.014777777851851852,0.05421515145454545,0.01031499995,0.7,0.08199500015,0.45,0.0170949999,0.5,2.0,True,True,False,True,True,False,False,ACR6012D868PP
A2TAMPLWAYL5WJ,2.1083,1.0,0.8333333333333334,4.9894,5.692,4.848879999999999,1.7604,0.8,0.5166666666666667,3.054793333333333,3.436093103448276,2.6980935483870967,3.17267,0.65,3.19402,0.4,2.7976900000000002,0.5,11.0,True,True,True,True,True,True,False,A2TAMPLWAYL5WJ
AZ87BZ1LEEZVS,2.4522,1.0,0.5,0.9598833333333334,0.42333333333333334,1.4964333333333333,1.93225,0.8,0.6666666666666666,0.5859466666666666,0.602835,0.5775025,0.5494749999999999,0.7,0.52425,0.65,0.684115,0.65,3.0,True,True,True,True,True,False,True,AZ87BZ1LEEZVS
A3KXM8LSH21DYR,1.7057,1.0,0.8333333333333334,2.5204166666666663,2.3148,2.56154,1.4772999999999998,1.0,0.7166666666666667,2.3986000000000005,2.685235294117647,2.2852790697674417,2.1644099999999997,0.75,2.56432,0.55,2.46707,0.85,4.0,True,True,True,True,True,True,True,A3KXM8LSH21DYR
A28RNN56JS8MUX,1.308599999,1.0,0.16666666666666666,2.9622333335000004,2.6512800002,4.517,0.89540000025,0.8,0.75,1.5896249999666667,1.6953266665333333,1.554391111111111,1.574465,0.7,1.7244500000999998,0.75,1.4699599998,0.8,3.0,False,True,True,True,True,True,True,A28RNN56JS8MUX
AOCQ83IC3FRUQ,1.3081,1.0,0.5,1.2162,1.4602000000000002,0.9722,1.0911,0.2,0.45,0.7860483333666667,0.6975636363939394,0.8941962963333333,0.8744100001499999,0.5,0.83467000005,0.45,0.6490649999,0.4,5.0,True,True,False,True,True,False,False,AOCQ83IC3FRUQ
A1ENQOWFVY6FX9,2.89573,1.0,0.6666666666666666,1.2922258333333334,1.8556825000000001,1.0104975,0.625858,1.0,0.7333333333333333,0.9582546666666668,1.0422340625,0.9277167045454546,0.9445285,0.75,0.94227925,0.7,0.9879562500000001,0.75,4.0,True,True,True,True,True,True,True,A1ENQOWFVY6FX9
A1SGTL6LGLW4DK,0.880599999,1.0,0.8333333333333334,1.7538333333333334,1.7412,1.7563600000000001,2.1389,0.4,0.5833333333333334,0.07104499998333334,0.03454400008,0.09711714277142858,0.04745000005,0.5,0.040905000000000004,0.7,0.1247799999,0.55,10.0,True,True,False,True,True,False,False,A1SGTL6LGLW4DK
A17WB66BXX4R0J,2.179,1.0,0.8333333333333334,3.9825,4.647,3.8496,1.7513333333333334,0.6,0.6666666666666666,6.041366666666667,7.092499999999999,5.5158000000000005,7.42495,0.7,5.77335,0.7,4.9258,0.6,3.0,True,True,False,True,False,True,True,A17WB66BXX4R0J
A2W2UF6S3WG0KI,1.3192,1.0,1.0,2.7386999999999997,,2.7387,1.25534,1.0,0.6333333333333333,2.0366933333333335,2.36035,1.8493131578947368,2.41144,0.55,1.839985,0.85,1.858655,0.5,6.0,True,True,True,True,True,True,True,A2W2UF6S3WG0KI
A27QYXUNPJR8B,1.8296,1.0,0.16666666666666666,1.2394666665,1.3178599998,0.8475,0.6683600000000001,1.0,0.55,0.8464300000000001,0.8665629629999999,0.8299575757272727,0.8245100000000001,0.6,0.85943000005,0.45,0.8553499999499999,0.6,31.0,False,True,True,False,True,True,False,A27QYXUNPJR8B
AKWM0TYF6WNH5,0.9079,1.0,0.16666666666666666,3.1253000000000006,3.55938,0.9549,,0.0,0.48333333333333334,14.513451666716666,18.56288064516129,10.184751724241378,13.510834999950001,0.5,21.6358150001,0.5,8.3937050001,0.45,4.0,False,True,False,True,False,False,False,AKWM0TYF6WNH5
A2IHXTGWRC8SVQ,1.1365,1.0,0.5,2.01145,1.4414333333333333,2.5814666666666666,1.8846,0.4,0.5333333333333333,2.4871166666666666,3.685425,1.438596875,1.347385,0.6,2.16791,0.55,3.9460550000000003,0.45,3.0,True,True,False,True,True,True,False,A2IHXTGWRC8SVQ
