button.numClicks,button.timesOn,button.timesOff,workID,Age,Gender,Hours slept (last night),date,expName,psychopyVersion,OS,frameRate,space_key_responce.keys,space_key_responce.rt,demo_encoding_response.keys,demo_encoding_response.corr,demo_encoding_loop.thisRepN,demo_encoding_loop.thisTrialN,demo_encoding_loop.thisN,demo_encoding_loop.thisIndex,demo_encoding_loop.ran,DemoImage,DemoCorrect,demo_encoding_response.rt,demo_test_response.keys,demo_test_response.corr,demo_test_response.rt,demo_test_loop.thisRepN,demo_test_loop.thisTrialN,demo_test_loop.thisN,demo_test_loop.thisIndex,demo_test_loop.ran,DemoImage1,DemoImage2,DemoCorrectTest,test_encoding_response.keys,test_encoding_response.corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,target_image,pair,layer,correct,test_encoding_response.rt,key_resp_end.keys,key_resp_end.rt,key_resp_end_2.keys,key_resp_end_2.rt
,,,A3TMVAECAVF9X5,57,Female,7,2023-02-01_12h41.29.395,memory_pilot_most_recent,2022.2.4,Win32,5.455299278,,,,,,,,,,,,,left,1,3.8968,0,2,2,2,1,flower3.jpg,flower3_pair.jpg,left,,,,,,,,,,,,,,,,
,,,A3TMVAECAVF9X5,57,Female,7,2023-02-01_12h41.29.395,memory_pilot_most_recent,2022.2.4,Win32,5.455299278,,,,,,,,,,,,,left,1,2.4676,0,3,3,3,1,flower4.jpg,flower4_pair.jpg,left,,,,,,,,,,,,,,,,
,,,A3TMVAECAVF9X5,57,Female,7,2023-02-01_12h41.29.395,memory_pilot_most_recent,2022.2.4,Win32,5.455299278,,,,,,,,,,,,,right,1,2.4617,0,4,4,4,1,flower5_pair.jpg,flower5.jpg,right,,,,,,,,,,,,,,,,
,,,A3TMVAECAVF9X5,57,Female,7,2023-02-01_12h41.29.395,memory_pilot_most_recent,2022.2.4,Win32,5.455299278,,,,,,,,,,,,,left,1,3.5044,0,5,5,5,1,flower6.jpg,flower6_pair.jpg,left,,,,,,,,,,,,,,,,
,,,A3TMVAECAVF9X5,57,Female,7,2023-02-01_12h41.29.395,memory_pilot_most_recent,2022.2.4,Win32,5.455299278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A3TMVAECAVF9X5,57,Female,7,2023-02-01_12h41.29.395,memory_pilot_most_recent,2022.2.4,Win32,5.455299278,space,6.5618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A3TMVAECAVF9X5,57,Female,7,2023-02-01_12h41.29.395,memory_pilot_most_recent,2022.2.4,Win32,5.455299278,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,1,PYGMY_KINGFISHER_5.jpg,MASKED_BOOBY_5.jpg,2,,,,,,
,,,A3TMVAECAVF9X5,57,Female,7,2023-02-01_12h41.29.395,memory_pilot_most_recent,2022.2.4,Win32,5.455299278,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,1,1,1,VERMILION_FLYCATHER_3.jpg,CALIFORNIA_GULL_1.jpg,2,,,,,,
,,,A3TMVAECAVF9X5,57,Female,7,2023-02-01_12h41.29.395,memory_pilot_most_recent,2022.2.4,Win32,5.455299278,,,,,,,,,,,,,,,,,,,,,,,,,1,0,2,2,2,1,BREWERS_BLACKBIRD_3.jpg,CAPE_LONGCLAW_2.jpg,3,,,,,,
,,,A3TMVAECAVF9X5,57,Female,7,2023-02-01_12h41.29.395,memory_pilot_most_recent,2022.2.4,Win32,5.455299278,,,,,,,,,,,,,,,,,,,,,,,,,1,0,3,3,3,1,IVORY_GULL_1.jpg,EASTERN_GOLDEN_WEAVER_5.jpg,2,,,,,,
,,,A3TMVAECAVF9X5,57,Female,7,2023-02-01_12h41.29.395,memory_pilot_most_recent,2022.2.4,Win32,5.455299278,,,,,,,,,,,,,,,,,,,,,,,,,1,0,4,4,4,1,AMERICAN_PIPIT_5.jpg,HEPATIC_TANAGER_5.jpg,3,,,,,,
,,,A3TMVAECAVF9X5,57,Female,7,2023-02-01_12h41.29.395,memory_pilot_most_recent,2022.2.4,Win32,5.455299278,,,,,,,,,,,,,,,,,,,,,,,,,1,0,5,5,5,1,CRESTED_NUTHATCH_2.jpg,SCARLET_IBIS_3.jpg,1,,,,,,
,,,A3TMVAECAVF9X5,57,Female,7,2023-02-01_12h41.29.395,memory_pilot_most_recent,2022.2.4,Win32,5.455299278,,,,,,,,,,,,,,,,,,,,,,,,,1,0,6,6,6,1,EASTERN_TOWEE_2.jpg,NORTHERN_BEARDLESS_TYRANNULET_5.jpg,3,,,,,,
,,,A3TMVAECAVF9X5,57,Female,7,2023-02-01_12h41.29.395,memory_pilot_most_recent,2022.2.4,Win32,5.455299278,,,,,,,,,,,,,,,,,,,,,,,,,1,0,7,7,7,1,MALACHITE_KINGFISHER_2.jpg,INCA_TERN_2.jpg,2,,,,,,
,,,A3TMVAECAVF9X5,57,Female,7,2023-02-01_12h41.29.395,memory_pilot_most_recent,2022.2.4,Win32,5.455299278,,,,,,,,,,,,,,,,,,,,,,,,right,1,0,8,8,8,1,right.jpg,,,right,1.0294,,,,
,,,A3TMVAECAVF9X5,57,Female,7,2023-02-01_12h41.29.395,memory_pilot_most_recent,2022.2.4,Win32,5.455299278,,,,,,,,,,,,,,,,,,,,,,,,,1,0,9,9,9,1,RUFOUS_KINGFISHER_1.jpg,HORNED_SUNGEM_4.jpg,3,,,,,,
,,,A3TMVAECAVF9X5,57,Female,7,2023-02-01_12h41.29.395,memory_pilot_most_recent,2022.2.4,Win32,5.455299278,,,,,,,,,,,,,,,,,,,,,,,,,1,0,10,10,10,1,GYRFALCON_1.jpg,CINNAMON_ATTILA_2.jpg,2,,,,,,
,,,A3TMVAECAVF9X5,57,Female,7,2023-02-01_12h41.29.395,memory_pilot_most_recent,2022.2.4,Win32,5.455299278,,,,,,,,,,,,,,,,,,,,,,,,,1,0,11,11,11,1,BROWN_NOODY_3.jpg,SPANGLED_COTINGA_4.jpg,2,,,,,,
,,,A3TMVAECAVF9X5,57,Female,7,2023-02-01_12h41.29.395,memory_pilot_most_recent,2022.2.4,Win32,5.455299278,,,,,,,,,,,,,,,,,,,,,,,,,1,0,12,12,12,1,CRESTED_CARACARA_4.jpg,TOUCHAN_4.jpg,3,,,,,,
,,,A3TMVAECAVF9X5,57,Female,7,2023-02-01_12h41.29.395,memory_pilot_most_recent,2022.2.4,Win32,5.455299278,,,,,,,,,,,,,,,,,,,,,,,,,1,0,13,13,13,1,NORTHERN_JACANA_3.jpg,SCARLET_IBIS_4.jpg,3,,,,,,
,,,A3TMVAECAVF9X5,57,Female,7,2023-02-01_12h41.29.395,memory_pilot_most_recent,2022.2.4,Win32,5.455299278,,,,,,,,,,,,,,,,,,,,,,,,,1,0,14,14,14,1,ECUADORIAN_HILLSTAR_5.jpg,CRIMSON_SUNBIRD_5.jpg,3,,,,,,
,,,A3TMVAECAVF9X5,57,Female,7,2023-02-01_12h41.29.395,memory_pilot_most_recent,2022.2.4,Win32,5.455299278,,,,,,,,,,,,,,,,,,,,,,,,,1,0,15,15,15,1,CASPIAN_TERN_1.jpg,GREAT_GRAY_OWL_4.jpg,1,,,,,,
,,,A3TMVAECAVF9X5,57,Female,7,2023-02-01_12h41.29.395,memory_pilot_most_recent,2022.2.4,Win32,5.455299278,,,,,,,,,,,,,,,,,,,,,,,,,1,0,16,16,16,1,INCA_TERN_4.jpg,SMITHS_LONGSPUR_5.jpg,2,,,,,,
,,,A3TMVAECAVF9X5,57,Female,7,2023-02-01_12h41.29.395,memory_pilot_most_recent,2022.2.4,Win32,5.455299278,,,,,,,,,,,,,,,,,,,,,,,,,1,0,17,17,17,1,CHUKAR_PARTRIDGE_5.jpg,RAZORBILL_1.jpg,2,,,,,,
,,,A3TMVAECAVF9X5,57,Female,7,2023-02-01_12h41.29.395,memory_pilot_most_recent,2022.2.4,Win32,5.455299278,,,,,,,,,,,,,,,,,,,,,,,,,1,0,18,18,18,1,STRIPPED_SWALLOW_1.jpg,MAGPIE_GOOSE_4.jpg,2,,,,,,
,,,A3TMVAECAVF9X5,57,Female,7,2023-02-01_12h41.29.395,memory_pilot_most_recent,2022.2.4,Win32,5.455299278,,,,,,,,,,,,,,,,,,,,,,,,,1,0,19,19,19,1,EUROPEAN_TURTLE_DOVE_3.jpg,PAINTED_BUNTING_3.jpg,2,,,,,,
,,,A3TMVAECAVF9X5,57,Female,7,2023-02-01_12h41.29.395,memory_pilot_most_recent,2022.2.4,Win32,5.455299278,,,,,,,,,,,,,,,,,,,,,,,,,1,0,20,20,20,1,RUBY_THROATED_HUMMINGBIRD_3.jpg,MYNA_5.jpg,2,,,,,,
,,,A3TMVAECAVF9X5,57,Female,7,2023-02-01_12h41.29.395,memory_pilot_most_recent,2022.2.4,Win32,5.455299278,,,,,,,,,,,,,,,,,,,,,,,,,1,0,21,21,21,1,FLAME_BOWERBIRD_3.jpg,INDIAN_BUSTARD_2.jpg,1,,,,,,
,,,A3TMVAECAVF9X5,57,Female,7,2023-02-01_12h41.29.395,memory_pilot_most_recent,2022.2.4,Win32,5.455299278,,,,,,,,,,,,,,,,,,,,,,,,,1,0,22,22,22,1,ASIAN_CRESTED_IBIS_4.jpg,IVORY_GULL_2.jpg,3,,,,,,
,,,A3TMVAECAVF9X5,57,Female,7,2023-02-01_12h41.29.395,memory_pilot_most_recent,2022.2.4,Win32,5.455299278,,,,,,,,,,,,,,,,,,,,,,,,left,1,0,23,23,23,1,left.jpg,,,left,1.0821,,,,
,,,A3TMVAECAVF9X5,57,Female,7,2023-02-01_12h41.29.395,memory_pilot_most_recent,2022.2.4,Win32,5.455299278,,,,,,,,,,,,,,,,,,,,,,,,,1,0,24,24,24,1,GOLDEN_CHEEKED_WARBLER_2.jpg,HOUSE_FINCH_2.jpg,2,,,,,,
,,,A3TMVAECAVF9X5,57,Female,7,2023-02-01_12h41.29.395,memory_pilot_most_recent,2022.2.4,Win32,5.455299278,,,,,,,,,,,,,,,,,,,,,,,,,1,0,25,25,25,1,GOLDEN_CHLOROPHONIA_5.jpg,ROADRUNNER_2.jpg,1,,,,,,
,,,A3TMVAECAVF9X5,57,Female,7,2023-02-01_12h41.29.395,memory_pilot_most_recent,2022.2.4,Win32,5.455299278,,,,,,,,,,,,,,,,,,,,,,,,,1,0,26,26,26,1,TASMANIAN_HEN_5.jpg,GREEN_BROADBILL_1.jpg,1,,,,,,
,,,A3TMVAECAVF9X5,57,Female,7,2023-02-01_12h41.29.395,memory_pilot_most_recent,2022.2.4,Win32,5.455299278,,,,,,,,,,,,,,,,,,,,,,,,,1,0,27,27,27,1,LESSER_ADJUTANT_5.jpg,GAMBELS_QUAIL_1.jpg,2,,,,,,
,,,A3TMVAECAVF9X5,57,Female,7,2023-02-01_12h41.29.395,memory_pilot_most_recent,2022.2.4,Win32,5.455299278,,,,,,,,,,,,,,,,,,,,,,,,,1,0,28,28,28,1,INLAND_DOTTEREL_4.jpg,NICOBAR_PIGEON_4.jpg,2,,,,,,
,,,A3TMVAECAVF9X5,57,Female,7,2023-02-01_12h41.29.395,memory_pilot_most_recent,2022.2.4,Win32,5.455299278,,,,,,,,,,,,,,,,,,,,,,,,,1,0,29,29,29,1,PEACOCK_3.jpg,ANIANIAU_2.jpg,1,,,,,,
,,,A3TMVAECAVF9X5,57,Female,7,2023-02-01_12h41.29.395,memory_pilot_most_recent,2022.2.4,Win32,5.455299278,,,,,,,,,,,,,,,,,,,,,,,,right,1,0,30,30,30,1,right.jpg,,,right,0.9768,,,,
,,,A3TMVAECAVF9X5,57,Female,7,2023-02-01_12h41.29.395,memory_pilot_most_recent,2022.2.4,Win32,5.455299278,,,,,,,,,,,,,,,,,,,,,,,,,1,0,31,31,31,1,ASIAN_DOLLARD_BIRD_2.jpg,LOGGERHEAD_SHRIKE_4.jpg,2,,,,,,
,,,A3TMVAECAVF9X5,57,Female,7,2023-02-01_12h41.29.395,memory_pilot_most_recent,2022.2.4,Win32,5.455299278,,,,,,,,,,,,,,,,,,,,,,,,,1,0,32,32,32,1,SHOEBILL_3.jpg,EASTERN_MEADOWLARK_1.jpg,1,,,,,,
,,,A3TMVAECAVF9X5,57,Female,7,2023-02-01_12h41.29.395,memory_pilot_most_recent,2022.2.4,Win32,5.455299278,,,,,,,,,,,,,,,,,,,,,,,,,1,0,33,33,33,1,RUBY_THROATED_HUMMINGBIRD_1.jpg,FRIGATE_1.jpg,3,,,,,,
,,,A3TMVAECAVF9X5,57,Female,7,2023-02-01_12h41.29.395,memory_pilot_most_recent,2022.2.4,Win32,5.455299278,,,,,,,,,,,,,,,,,,,,,,,,,1,0,34,34,34,1,WHITE_CHEEKED_TURACO_5.jpg,GREAT_POTOO_3.jpg,2,,,,,,
,,,A3TMVAECAVF9X5,57,Female,7,2023-02-01_12h41.29.395,memory_pilot_most_recent,2022.2.4,Win32,5.455299278,,,,,,,,,,,,,,,,,,,,,,,,,1,0,35,35,35,1,PINK_ROBIN_4.jpg,SPOONBILL_3.jpg,1,,,,,,
,,,A3TMVAECAVF9X5,57,Female,7,2023-02-01_12h41.29.395,memory_pilot_most_recent,2022.2.4,Win32,5.455299278,,,,,,,,,,,,,,,,,,,,,,,,,1,0,36,36,36,1,BALI_STARLING_1.jpg,CAPE_LONGCLAW_5.jpg,1,,,,,,
,,,A3TMVAECAVF9X5,57,Female,7,2023-02-01_12h41.29.395,memory_pilot_most_recent,2022.2.4,Win32,5.455299278,,,,,,,,,,,,,,,,,,,,,,,,,1,0,37,37,37,1,OVENBIRD_5.jpg,FAIRY_PENGUIN_1.jpg,2,,,,,,
,,,A3TMVAECAVF9X5,57,Female,7,2023-02-01_12h41.29.395,memory_pilot_most_recent,2022.2.4,Win32,5.455299278,,,,,,,,,,,,,,,,,,,,,,,,,1,0,38,38,38,1,CERULEAN_WARBLER_1.jpg,BANANAQUIT_1.jpg,3,,,,,,
,,,A3TMVAECAVF9X5,57,Female,7,2023-02-01_12h41.29.395,memory_pilot_most_recent,2022.2.4,Win32,5.455299278,,,,,,,,,,,,,,,,,,,,,,,,,1,0,39,39,39,1,AFRICAN_PIED_HORNBILL_5.jpg,KIWI_4.jpg,1,,,,,,
,,,A3TMVAECAVF9X5,57,Female,7,2023-02-01_12h41.29.395,memory_pilot_most_recent,2022.2.4,Win32,5.455299278,,,,,,,,,,,,,,,,,,,,,,,,,1,0,40,40,40,1,BROWN_THRASHER_3.jpg,DOUBLE_EYED_FIG_PARROT_3.jpg,1,,,,,,
,,,A3TMVAECAVF9X5,57,Female,7,2023-02-01_12h41.29.395,memory_pilot_most_recent,2022.2.4,Win32,5.455299278,,,,,,,,,,,,,,,,,,,,,,,,,1,0,41,41,41,1,RUBY_THROATED_HUMMINGBIRD_2.jpg,DUSKY_ROBIN_5.jpg,3,,,,,,
,,,A3TMVAECAVF9X5,57,Female,7,2023-02-01_12h41.29.395,memory_pilot_most_recent,2022.2.4,Win32,5.455299278,,,,,,,,,,,,,,,,,,,,,,,,,1,0,42,42,42,1,MYNA_1.jpg,PARADISE_TANAGER_3.jpg,3,,,,,,
,,,A3TMVAECAVF9X5,57,Female,7,2023-02-01_12h41.29.395,memory_pilot_most_recent,2022.2.4,Win32,5.455299278,,,,,,,,,,,,,,,,,,,,,,,,left,1,0,43,43,43,1,left.jpg,,,left,0.9853,,,,
,,,A3TMVAECAVF9X5,57,Female,7,2023-02-01_12h41.29.395,memory_pilot_most_recent,2022.2.4,Win32,5.455299278,,,,,,,,,,,,,,,,,,,,,,,,,1,0,44,44,44,1,MAGPIE_GOOSE_5.jpg,HAMERKOP_1.jpg,2,,,,,,
,,,A3TMVAECAVF9X5,57,Female,7,2023-02-01_12h41.29.395,memory_pilot_most_recent,2022.2.4,Win32,5.455299278,,,,,,,,,,,,,,,,,,,,,,,,,1,0,45,45,45,1,SCARLET_TANAGER_2.jpg,BORNEAN_LEAFBIRD_1.jpg,3,,,,,,
,,,A3TMVAECAVF9X5,57,Female,7,2023-02-01_12h41.29.395,memory_pilot_most_recent,2022.2.4,Win32,5.455299278,,,,,,,,,,,,,,,,,,,,,,,,,1,0,46,46,46,1,PARUS_MAJOR_1.jpg,SANDHILL_CRANE_4.jpg,1,,,,,,
,,,A3TMVAECAVF9X5,57,Female,7,2023-02-01_12h41.29.395,memory_pilot_most_recent,2022.2.4,Win32,5.455299278,,,,,,,,,,,,,,,,,,,,,,,,,1,0,47,47,47,1,CASSOWARY_1.jpg,AFRICAN_OYSTER_CATCHER_2.jpg,3,,,,,,
,,,A3TMVAECAVF9X5,57,Female,7,2023-02-01_12h41.29.395,memory_pilot_most_recent,2022.2.4,Win32,5.455299278,,,,,,,,,,,,,,,,,,,,,,,,,1,0,48,48,48,1,RED_HEADED_WOODPECKER_5.jpg,COLLARED_ARACARI_1.jpg,3,,,,,,
,,,A3TMVAECAVF9X5,57,Female,7,2023-02-01_12h41.29.395,memory_pilot_most_recent,2022.2.4,Win32,5.455299278,,,,,,,,,,,,,,,,,,,,,,,,,1,0,49,49,49,1,HAWAIIAN_GOOSE_4.jpg,WATTLED_LAPWING_3.jpg,3,,,,,,
,,,A3TMVAECAVF9X5,57,Female,7,2023-02-01_12h41.29.395,memory_pilot_most_recent,2022.2.4,Win32,5.455299278,,,,,,,,,,,,,,,,,,,,,,,,,1,0,50,50,50,1,LESSER_ADJUTANT_4.jpg,ALTAMIRA_YELLOWTHROAT_5.jpg,1,,,,,,
,,,A3TMVAECAVF9X5,57,Female,7,2023-02-01_12h41.29.395,memory_pilot_most_recent,2022.2.4,Win32,5.455299278,,,,,,,,,,,,,,,,,,,,,,,,,1,0,51,51,51,1,OCELLATED_TURKEY_1.jpg,PURPLE_SWAMPHEN_4.jpg,3,,,,,,
,,,A3TMVAECAVF9X5,57,Female,7,2023-02-01_12h41.29.395,memory_pilot_most_recent,2022.2.4,Win32,5.455299278,,,,,,,,,,,,,,,,,,,,,,,,,1,0,52,52,52,1,SPLENDID_WREN_1.jpg,POMARINE_JAEGER_5.jpg,1,,,,,,
,,,A3TMVAECAVF9X5,57,Female,7,2023-02-01_12h41.29.395,memory_pilot_most_recent,2022.2.4,Win32,5.455299278,,,,,,,,,,,,,,,,,,,,,,,,,1,0,53,53,53,1,ALPINE_CHOUGH_4.jpg,EUROPEAN_GOLDFINCH_3.jpg,2,,,,,,
,,,A3TMVAECAVF9X5,57,Female,7,2023-02-01_12h41.29.395,memory_pilot_most_recent,2022.2.4,Win32,5.455299278,,,,,,,,,,,,,,,,,,,,,,,,right,1,0,54,54,54,1,right.jpg,,,right,0.9838,,,,
,,,A3TMVAECAVF9X5,57,Female,7,2023-02-01_12h41.29.395,memory_pilot_most_recent,2022.2.4,Win32,5.455299278,,,,,,,,,,,,,,,,,,,,,,,,,1,0,55,55,55,1,KILLDEAR_2.jpg,AZURE_TIT_5.jpg,3,,,,,,
,,,A3TMVAECAVF9X5,57,Female,7,2023-02-01_12h41.29.395,memory_pilot_most_recent,2022.2.4,Win32,5.455299278,,,,,,,,,,,,,,,,,,,,,,,,,1,0,56,56,56,1,KAGU_5.jpg,RED_BEARDED_BEE_EATER_3.jpg,1,,,,,,
,,,A3TMVAECAVF9X5,57,Female,7,2023-02-01_12h41.29.395,memory_pilot_most_recent,2022.2.4,Win32,5.455299278,,,,,,,,,,,,,,,,,,,,,,,,,1,0,57,57,57,1,IVORY_GULL_3.jpg,INDIGO_FLYCATCHER_2.jpg,1,,,,,,
,,,A3TMVAECAVF9X5,57,Female,7,2023-02-01_12h41.29.395,memory_pilot_most_recent,2022.2.4,Win32,5.455299278,,,,,,,,,,,,,,,,,,,,,,,,,1,0,58,58,58,1,ARARIPE_MANAKIN_4.jpg,KIWI_3.jpg,1,,,,,,
,,,A3TMVAECAVF9X5,57,Female,7,2023-02-01_12h41.29.395,memory_pilot_most_recent,2022.2.4,Win32,5.455299278,,,,,,,,,,,,,,,,,,,,,,,,,1,0,59,59,59,1,GRAY_KINGBIRD_5.jpg,BALD_EAGLE_2.jpg,1,,,,,,
,,,A3TMVAECAVF9X5,57,Female,7,2023-02-01_12h41.29.395,memory_pilot_most_recent,2022.2.4,Win32,5.455299278,,,,,,,,,,,,,,,,,,,,,,,,,1,0,60,60,60,1,LARK_BUNTING_2.jpg,KING_VULTURE_3.jpg,2,,,,,,
,,,A3TMVAECAVF9X5,57,Female,7,2023-02-01_12h41.29.395,memory_pilot_most_recent,2022.2.4,Win32,5.455299278,,,,,,,,,,,,,,,,,,,,,,,,,1,0,61,61,61,1,DOUBLE_BRESTED_CORMARANT_5.jpg,GILDED_FLICKER_2.jpg,1,,,,,,
,,,A3TMVAECAVF9X5,57,Female,7,2023-02-01_12h41.29.395,memory_pilot_most_recent,2022.2.4,Win32,5.455299278,,,,,,,,,,,,,,,,,,,,,,,,,1,0,62,62,62,1,INDIGO_BUNTING_1.jpg,DARWINS_FLYCATCHER_2.jpg,3,,,,,,
,,,A3TMVAECAVF9X5,57,Female,7,2023-02-01_12h41.29.395,memory_pilot_most_recent,2022.2.4,Win32,5.455299278,,,,,,,,,,,,,,,,,,,,,,,,,1,0,63,63,63,1,LITTLE_AUK_5.jpg,BEARDED_BELLBIRD_1.jpg,3,,,,,,
,,,A3TMVAECAVF9X5,57,Female,7,2023-02-01_12h41.29.395,memory_pilot_most_recent,2022.2.4,Win32,5.455299278,,,,,,,,,,,,,,,,,,,,,,,,,1,0,64,64,64,1,GREY_PLOVER_1.jpg,HYACINTH_MACAW_3.jpg,1,,,,,,
,,,A3TMVAECAVF9X5,57,Female,7,2023-02-01_12h41.29.395,memory_pilot_most_recent,2022.2.4,Win32,5.455299278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,2.4331,,
,,,A3TMVAECAVF9X5,57,Female,7,2023-02-01_12h41.29.395,memory_pilot_most_recent,2022.2.4,Win32,5.455299278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A3TMVAECAVF9X5,57,Female,7,2023-02-01_12h41.29.395,memory_pilot_most_recent,2022.2.4,Win32,5.455299278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,77.4566
